fpr,tpr,threshold
0.0,0.0,inf
0.01,0.0,2.70362473347548
0.18,0.0,2.5284872298624754
0.18,0.02,2.5170603674540684
0.21,0.02,2.5147347740667976
0.21,0.04,2.501291989664083
0.21,0.06,2.5
0.23,0.06,2.499009900990099
0.23,0.07,2.4974358974358974
0.23,0.09,2.4973958333333335
0.24,0.09,2.4960629921259843
0.24,0.14,2.484536082474227
0.25,0.14,2.481624758220503
0.25,0.16,2.479381443298969
0.26,0.16,2.478846153846154
0.28,0.16,2.4773584905660377
0.28,0.19,2.475703324808184
0.29,0.19,2.474860335195531
0.29,0.3,2.466494845360825
0.3,0.3,2.464814814814815
0.3,0.32,2.4641025641025642
0.31,0.32,2.463654223968566
0.31,0.33,2.4629156010230178
0.32,0.33,2.461977186311787
0.32,0.35,2.461139896373057
0.33,0.35,2.458574181117534
0.33,0.39,2.4575835475578405
0.34,0.39,2.4573055028463
0.34,0.42,2.457070707070707
0.34,0.46,2.4524421593830334
0.38,0.46,2.4473684210526314
0.38,0.47,2.446969696969697
0.38,0.49,2.446700507614213
0.39,0.49,2.4464609800362975
0.39,0.5,2.4464285714285716
0.4,0.5,2.4452690166975883
0.4,0.52,2.4447236180904524
0.4,0.56,2.4444444444444446
0.4,0.58,2.443609022556391
0.4,0.6,2.443324937027708
0.4,0.62,2.441919191919192
0.42,0.62,2.4383301707779887
0.42,0.64,2.437185929648241
0.42,0.66,2.4358974358974357
0.42,0.67,2.435114503816794
0.43,0.67,2.4349442379182156
0.43,0.69,2.4346733668341707
0.44,0.69,2.4333958724202627
0.44,0.7,2.433333333333333
0.45,0.7,2.4328358208955225
0.45,0.71,2.432225063938619
0.47,0.71,2.431261770244821
0.47,0.72,2.431122448979592
0.47,0.74,2.430379746835443
0.48,0.74,2.4301470588235294
0.48,0.76,2.426065162907268
0.48,0.78,2.4260204081632653
0.48,0.81,2.4203980099502487
0.5,0.81,2.418250950570342
0.5,0.83,2.4170854271356785
0.5,0.87,2.4122137404580153
0.51,0.87,2.411552346570397
0.51,0.9,2.41
0.52,0.9,2.409982174688057
0.52,0.91,2.4064837905236907
0.53,0.91,2.404850746268657
0.53,0.92,2.404040404040404
0.54,0.92,2.401129943502825
0.54,0.93,2.401002506265664
0.56,0.93,2.3973634651600753
0.58,0.93,2.3970588235294117
0.58,0.94,2.3964646464646466
0.59,0.94,2.396330275229358
0.59,0.97,2.391959798994975
0.63,0.97,2.389189189189189
0.63,0.98,2.3883248730964466
0.64,0.98,2.386861313868613
0.64,0.99,2.3865336658354113
0.68,0.99,2.381037567084079
0.68,1.0,2.380952380952381
1.0,1.0,1.9379407616361073
