fpr,tpr,threshold
0.0,0.0,inf
0.01,0.0,2.70362473347548
0.18,0.0,2.5284872298624754
0.18,0.01,2.5182291666666665
0.21,0.01,2.5147347740667976
0.21,0.05,2.5
0.23,0.05,2.499009900990099
0.23,0.07,2.497422680412371
0.24,0.07,2.4960629921259843
0.24,0.14,2.483116883116883
0.25,0.14,2.481624758220503
0.25,0.16,2.4792746113989637
0.26,0.16,2.478846153846154
0.26,0.17,2.4782608695652173
0.28,0.17,2.4773584905660377
0.28,0.21,2.475578406169666
0.28,0.23,2.4753246753246754
0.29,0.23,2.474860335195531
0.29,0.26,2.465994962216625
0.29,0.28,2.4656488549618323
0.29,0.29,2.465473145780051
0.31,0.29,2.463654223968566
0.31,0.32,2.462724935732648
0.32,0.32,2.461977186311787
0.32,0.34,2.4591836734693877
0.33,0.34,2.458574181117534
0.33,0.36,2.4573643410852712
0.34,0.36,2.4573055028463
0.34,0.42,2.4508816120906802
0.35,0.42,2.4508670520231215
0.36,0.43,2.450381679389313
0.36,0.44,2.4494949494949494
0.38,0.44,2.4473684210526314
0.38,0.45,2.4473007712082264
0.39,0.45,2.4464609800362975
0.39,0.47,2.4455696202531647
0.4,0.47,2.4452690166975883
0.4,0.49,2.4444444444444446
0.4,0.51,2.4441624365482233
0.4,0.55,2.4389610389610388
0.41,0.55,2.438888888888889
0.41,0.56,2.4384615384615387
0.42,0.56,2.4383301707779887
0.42,0.57,2.4357682619647356
0.43,0.57,2.4349442379182156
0.43,0.6,2.4343434343434343
0.43,0.61,2.4335839598997495
0.44,0.61,2.4333958724202627
0.44,0.62,2.4329113924050634
0.45,0.62,2.4328358208955225
0.45,0.63,2.4325699745547076
0.46,0.63,2.431985294117647
0.46,0.64,2.431472081218274
0.47,0.64,2.431261770244821
0.47,0.65,2.431077694235589
0.48,0.65,2.4301470588235294
0.48,0.67,2.4289340101522843
0.48,0.69,2.4263959390862944
0.48,0.75,2.420918367346939
0.48,0.77,2.420654911838791
0.48,0.79,2.419191919191919
0.5,0.79,2.418250950570342
0.5,0.86,2.4116161616161618
0.51,0.86,2.411552346570397
0.51,0.87,2.4111675126903553
0.52,0.87,2.409982174688057
0.52,0.88,2.4056122448979593
0.53,0.88,2.404850746268657
0.53,0.9,2.403990024937656
0.55,0.9,2.4003690036900367
0.55,0.91,2.398009950248756
0.56,0.91,2.3973634651600753
0.58,0.91,2.3970588235294117
0.59,0.91,2.396330275229358
0.59,0.96,2.3925
0.67,0.96,2.3824057450628366
0.67,0.98,2.381188118811881
0.68,0.98,2.381037567084079
0.68,0.99,2.3805970149253732
0.7,0.99,2.3783783783783785
0.7,1.0,2.375
1.0,1.0,1.9379407616361073
