fpr,tpr,threshold
0.0,0.0,inf
0.01,0.0,2.70362473347548
0.16,0.0,2.536290322580645
0.16,0.01,2.5340314136125652
0.18,0.01,2.5284872298624754
0.18,0.02,2.5194805194805197
0.19,0.02,2.5161290322580645
0.19,0.03,2.5157068062827226
0.21,0.03,2.5147347740667976
0.21,0.06,2.5025906735751295
0.24,0.06,2.4960629921259843
0.24,0.14,2.484375
0.25,0.14,2.481624758220503
0.25,0.16,2.479381443298969
0.26,0.16,2.478846153846154
0.26,0.17,2.4782608695652173
0.28,0.17,2.4773584905660377
0.28,0.19,2.476683937823834
0.29,0.19,2.474860335195531
0.29,0.23,2.4693877551020407
0.29,0.25,2.4692307692307693
0.29,0.26,2.467005076142132
0.3,0.26,2.464814814814815
0.3,0.29,2.463917525773196
0.31,0.29,2.463654223968566
0.31,0.31,2.4631043256997454
0.32,0.31,2.461977186311787
0.32,0.36,2.4587628865979383
0.33,0.36,2.458574181117534
0.33,0.38,2.4578005115089514
0.34,0.38,2.4573055028463
0.34,0.42,2.452196382428941
0.36,0.42,2.450381679389313
0.36,0.44,2.4489795918367347
0.37,0.44,2.448473282442748
0.37,0.45,2.4475703324808182
0.39,0.45,2.4464609800362975
0.39,0.47,2.4455696202531647
0.4,0.47,2.4452690166975883
0.4,0.48,2.4444444444444446
0.4,0.5,2.4441624365482233
0.4,0.54,2.4410256410256412
0.4,0.58,2.4390862944162435
0.41,0.58,2.438888888888889
0.41,0.59,2.438775510204082
0.42,0.59,2.4383301707779887
0.42,0.61,2.4376590330788805
0.42,0.63,2.4358974358974357
0.43,0.63,2.4349442379182156
0.43,0.66,2.433673469387755
0.44,0.66,2.4333958724202627
0.44,0.67,2.433333333333333
0.44,0.7,2.433249370277078
0.48,0.7,2.4301470588235294
0.48,0.74,2.427480916030534
0.48,0.76,2.4271099744245523
0.48,0.84,2.419437340153453
0.49,0.84,2.418560606060606
0.49,0.85,2.418546365914787
0.5,0.85,2.418250950570342
0.5,0.93,2.4120603015075375
0.51,0.93,2.411552346570397
0.51,0.94,2.4105793450881614
0.52,0.94,2.409982174688057
0.52,0.96,2.405
0.53,0.96,2.404850746268657
0.53,0.97,2.4029850746268657
0.55,0.97,2.4003690036900367
0.55,0.98,2.3975
0.56,0.98,2.3973634651600753
0.58,0.98,2.3970588235294117
0.59,0.98,2.396330275229358
0.59,0.99,2.3944723618090453
0.68,0.99,2.381037567084079
0.68,1.0,2.3799019607843137
1.0,1.0,1.9379407616361073
